id;config_key;config_value;sub_type;sub_type_1;sub_type_2;description;encrypted;create_date;update_date;enabled;config_type_id
1;repentant;furthermore interestingly;now;modulo indeed;coolly enormously;before;false;2024-10-08T14:42:36;2024-10-08T15:22:36;true;1
2;eek partially;whereas;amid carport sometimes;pace gleefully;violently titillate sole;epoxy profitable except;false;2024-10-08T05:20:11;2024-10-08T17:27:14;false;2
3;against;boohoo following;embalm as;awkward provided;fooey;speedily indeed starchy;false;2024-10-09T03:20:42;2024-10-09T03:32:59;false;3
4;oof provided;seldom reconfirm over;too;muddy but beyond;beach;mocha recast gybe;false;2024-10-08T19:34:35;2024-10-08T15:00:27;false;4
5;alongside spectacular;silver;often infuriate;valuable;minus sweetly;nor episode;false;2024-10-08T06:25:00;2024-10-08T14:28:52;true;5
6;er besides;tap disarmament;acquire blah;ugh;along healthily which;hmph perfumed;true;2024-10-08T11:26:33;2024-10-08T20:55:16;true;6
7;mantle hungrily yuck;with so;mutate tremendous as;but tusk;queasily more though;meh;false;2024-10-08T20:24:52;2024-10-08T11:08:40;true;7
8;shakily where;highly;amid anenst;carriage messy jealously;uneven aw despite;lest huzzah that;false;2024-10-08T06:03:29;2024-10-08T19:31:49;false;8
9;incomparable optimize;noodles accidentally;ew;worth;anyone;before or as;false;2024-10-08T04:52:28;2024-10-08T16:20:58;false;9
10;soulmate satisfied verbally;when knavishly for;ferociously against possession;steep as;loathsome determine accounting;abaft whimsical SUV;true;2024-10-08T22:41:41;2024-10-08T15:55:05;true;10
